Credit rating;Age;Income level;Number of credit cards;Education;Car loans
"Bad";38.885104;"Low";"5 or more";"College";"More than 2"
"Bad";30.956940;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.014522;"Medium";"Less than 5";"High school";"None or 1"
"Bad";35.006975;"Medium";"5 or more";"High school";"More than 2"
"Bad";39.289099;"Medium";"5 or more";"High school";"More than 2"
"Bad";28.395897;"Low";"5 or more";"High school";"More than 2"
"Bad";33.289394;"Medium";"5 or more";"High school";"More than 2"
"Bad";41.313042;"Medium";"5 or more";"High school";"More than 2"
"Bad";41.308827;"Medium";"5 or more";"High school";"More than 2"
"Bad";40.857956;"Low";"5 or more";"High school";"More than 2"
"Bad";32.946713;"Low";"5 or more";"High school";"More than 2"
"Bad";34.877659;"Medium";"5 or more";"College";"More than 2"
"Bad";23.790530;"Medium";"5 or more";"High school";"More than 2"
"Bad";43.291265;"High";"5 or more";"College";"More than 2"
"Bad";22.473470;"Low";"Less than 5";"High school";"None or 1"
"Bad";27.458211;"Medium";"5 or more";"High school";"More than 2"
"Bad";27.766159;"Low";"5 or more";"High school";"More than 2"
"Bad";36.700200;"Low";"5 or more";"College";"More than 2"
"Bad";28.418146;"Low";"5 or more";"College";"More than 2"
"Bad";23.626356;"Low";"5 or more";"College";"More than 2"
"Bad";23.335955;"Medium";"5 or more";"College";"More than 2"
"Bad";38.068518;"Low";"5 or more";"High school";"More than 2"
"Bad";27.235047;"Medium";"5 or more";"High school";"More than 2"
"Bad";36.795480;"Low";"5 or more";"High school";"More than 2"
"Bad";28.461984;"High";"Less than 5";"High school";"None or 1"
"Bad";33.275201;"Low";"5 or more";"High school";"More than 2"
"Bad";25.622793;"High";"5 or more";"College";"More than 2"
"Bad";26.109754;"Medium";"5 or more";"High school";"None or 1"
"Bad";27.808020;"Medium";"Less than 5";"College";"None or 1"
"Bad";30.073310;"High";"5 or more";"High school";"More than 2"
"Bad";33.945811;"Medium";"Less than 5";"High school";"None or 1"
"Bad";26.985676;"Low";"5 or more";"College";"More than 2"
"Bad";39.147147;"Low";"5 or more";"College";"More than 2"
"Bad";26.923931;"Medium";"5 or more";"High school";"More than 2"
"Bad";37.655571;"High";"5 or more";"College";"More than 2"
"Bad";29.856128;"Medium";"5 or more";"High school";"More than 2"
"Bad";30.329749;"Low";"5 or more";"College";"More than 2"
"Bad";24.525150;"Medium";"Less than 5";"College";"None or 1"
"Bad";20.952265;"Low";"Less than 5";"High school";"More than 2"
"Bad";20.586108;"Medium";"5 or more";"High school";"More than 2"
"Bad";37.608024;"High";"5 or more";"High school";"More than 2"
"Bad";36.614509;"Low";"5 or more";"College";"More than 2"
"Bad";24.196106;"Low";"5 or more";"High school";"More than 2"
"Bad";22.919006;"Medium";"5 or more";"College";"None or 1"
"Bad";29.497410;"Low";"5 or more";"High school";"None or 1"
"Bad";23.650313;"Low";"5 or more";"High school";"More than 2"
"Bad";38.965574;"Medium";"5 or more";"College";"More than 2"
"Bad";21.523510;"Medium";"Less than 5";"High school";"None or 1"
"Bad";34.826185;"Low";"5 or more";"College";"More than 2"
"Bad";33.718671;"Low";"5 or more";"High school";"More than 2"
"Bad";31.108947;"Low";"5 or more";"High school";"More than 2"
"Bad";39.404979;"Medium";"5 or more";"College";"More than 2"
"Bad";36.940592;"Medium";"5 or more";"College";"More than 2"
"Bad";37.671862;"High";"5 or more";"College";"None or 1"
"Bad";21.328807;"Low";"5 or more";"College";"None or 1"
"Bad";20.503541;"Low";"5 or more";"High school";"None or 1"
"Bad";23.119967;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.955083;"Low";"5 or more";"College";"More than 2"
"Bad";37.604488;"Low";"5 or more";"College";"More than 2"
"Bad";29.021969;"Low";"5 or more";"College";"More than 2"
"Bad";26.955019;"Low";"5 or more";"High school";"More than 2"
"Bad";40.334754;"Medium";"5 or more";"College";"More than 2"
"Bad";23.303406;"Medium";"5 or more";"High school";"More than 2"
"Bad";27.852187;"Medium";"5 or more";"High school";"More than 2"
"Bad";29.138302;"Medium";"5 or more";"College";"More than 2"
"Bad";25.048272;"Medium";"Less than 5";"College";"None or 1"
"Bad";22.192544;"Low";"5 or more";"High school";"More than 2"
"Bad";22.717580;"Medium";"5 or more";"High school";"More than 2"
"Bad";34.112676;"Medium";"5 or more";"High school";"More than 2"
"Bad";32.619160;"High";"Less than 5";"College";"None or 1"
"Bad";24.052514;"Medium";"5 or more";"College";"More than 2"
"Bad";20.856775;"Medium";"5 or more";"College";"More than 2"
"Bad";28.007169;"Low";"5 or more";"College";"More than 2"
"Bad";23.842216;"Medium";"5 or more";"High school";"None or 1"
"Bad";28.813821;"Medium";"5 or more";"College";"More than 2"
"Bad";47.370283;"Medium";"5 or more";"High school";"More than 2"
"Bad";24.720623;"Medium";"5 or more";"High school";"More than 2"
"Bad";33.326590;"High";"5 or more";"College";"More than 2"
"Bad";32.401977;"Medium";"5 or more";"College";"More than 2"
"Bad";37.019562;"High";"5 or more";"High school";"More than 2"
"Bad";35.221819;"Medium";"5 or more";"College";"More than 2"
"Bad";25.310028;"Low";"5 or more";"High school";"More than 2"
"Bad";34.180375;"High";"5 or more";"High school";"More than 2"
"Bad";43.275026;"Low";"5 or more";"College";"More than 2"
"Bad";26.908618;"Low";"5 or more";"High school";"More than 2"
"Bad";30.091254;"Medium";"Less than 5";"High school";"None or 1"
"Bad";48.185298;"High";"5 or more";"High school";"None or 1"
"Bad";33.854061;"Low";"5 or more";"High school";"More than 2"
"Bad";32.423864;"Low";"5 or more";"College";"More than 2"
"Bad";34.226954;"Low";"5 or more";"College";"More than 2"
"Bad";26.233424;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.589247;"Low";"5 or more";"College";"None or 1"
"Bad";21.574578;"Medium";"5 or more";"High school";"More than 2"
"Bad";29.027682;"Low";"5 or more";"High school";"More than 2"
"Bad";28.228999;"Medium";"5 or more";"College";"More than 2"
"Bad";26.413049;"Medium";"5 or more";"High school";"More than 2"
"Bad";28.134020;"Medium";"5 or more";"High school";"More than 2"
"Bad";27.295416;"Medium";"5 or more";"College";"More than 2"
"Bad";32.684687;"Low";"5 or more";"College";"More than 2"
"Bad";39.170481;"High";"5 or more";"High school";"More than 2"
"Bad";44.464303;"Low";"5 or more";"College";"More than 2"
"Bad";28.205963;"Medium";"5 or more";"College";"More than 2"
"Bad";37.561873;"Medium";"5 or more";"College";"None or 1"
"Bad";41.698451;"Medium";"Less than 5";"College";"None or 1"
"Bad";29.963122;"Low";"5 or more";"College";"More than 2"
"Bad";26.806304;"Low";"5 or more";"College";"More than 2"
"Bad";47.549957;"High";"5 or more";"College";"More than 2"
"Bad";36.923409;"Low";"5 or more";"College";"More than 2"
"Bad";21.098730;"Low";"5 or more";"College";"More than 2"
"Bad";40.123501;"Medium";"5 or more";"College";"More than 2"
"Bad";42.723386;"Low";"5 or more";"High school";"More than 2"
"Bad";20.868880;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.562131;"Low";"5 or more";"College";"More than 2"
"Bad";30.412423;"Low";"5 or more";"College";"More than 2"
"Bad";22.929242;"Low";"5 or more";"College";"More than 2"
"Bad";40.121802;"Low";"5 or more";"High school";"More than 2"
"Bad";26.936387;"Low";"5 or more";"College";"More than 2"
"Bad";20.358771;"Medium";"5 or more";"College";"More than 2"
"Bad";22.146102;"Low";"5 or more";"High school";"More than 2"
"Bad";29.724331;"Low";"5 or more";"High school";"More than 2"
"Bad";24.874452;"Low";"5 or more";"High school";"More than 2"
"Bad";27.486021;"Low";"5 or more";"High school";"More than 2"
"Bad";35.599141;"Low";"5 or more";"High school";"More than 2"
"Bad";29.770540;"Medium";"5 or more";"College";"More than 2"
"Bad";34.259836;"Medium";"Less than 5";"High school";"None or 1"
"Bad";29.941843;"Medium";"5 or more";"High school";"More than 2"
"Bad";37.748034;"Medium";"5 or more";"High school";"More than 2"
"Bad";36.827616;"Low";"5 or more";"College";"More than 2"
"Bad";27.934610;"Medium";"5 or more";"College";"More than 2"
"Bad";38.402534;"Low";"5 or more";"College";"More than 2"
"Bad";35.557799;"Low";"5 or more";"College";"None or 1"
"Bad";36.231937;"Medium";"5 or more";"College";"More than 2"
"Bad";36.728385;"Low";"5 or more";"High school";"More than 2"
"Bad";30.615912;"Low";"5 or more";"High school";"More than 2"
"Bad";28.463245;"Medium";"5 or more";"College";"None or 1"
"Bad";29.113126;"Medium";"5 or more";"High school";"More than 2"
"Bad";32.426917;"Medium";"5 or more";"College";"None or 1"
"Bad";34.077281;"Low";"5 or more";"College";"More than 2"
"Bad";31.752462;"Low";"5 or more";"College";"More than 2"
"Bad";31.982389;"Medium";"5 or more";"College";"None or 1"
"Bad";20.171052;"Low";"5 or more";"High school";"More than 2"
"Bad";23.058137;"Medium";"5 or more";"High school";"More than 2"
"Bad";36.398078;"Medium";"5 or more";"College";"More than 2"
"Bad";38.610384;"Low";"5 or more";"High school";"More than 2"
"Bad";29.488953;"High";"Less than 5";"High school";"None or 1"
"Bad";31.042336;"Low";"5 or more";"College";"More than 2"
"Bad";32.420186;"Medium";"5 or more";"High school";"More than 2"
"Bad";34.391922;"Medium";"5 or more";"College";"More than 2"
"Bad";24.312305;"Medium";"5 or more";"High school";"More than 2"
"Bad";53.817786;"Medium";"5 or more";"High school";"More than 2"
"Bad";23.287782;"Low";"Less than 5";"High school";"None or 1"
"Bad";29.084932;"Low";"Less than 5";"College";"None or 1"
"Bad";38.269098;"High";"5 or more";"High school";"More than 2"
"Bad";37.855563;"Low";"5 or more";"College";"More than 2"
"Bad";20.012507;"Medium";"5 or more";"College";"More than 2"
"Bad";20.305088;"Medium";"5 or more";"High school";"More than 2"
"Bad";26.661470;"Low";"5 or more";"College";"None or 1"
"Bad";38.840998;"Low";"5 or more";"College";"More than 2"
"Bad";35.178253;"Medium";"5 or more";"High school";"More than 2"
"Bad";27.765395;"Medium";"5 or more";"College";"More than 2"
"Bad";28.900845;"Medium";"5 or more";"College";"More than 2"
"Bad";32.756195;"High";"5 or more";"High school";"More than 2"
"Bad";23.042865;"Medium";"5 or more";"College";"More than 2"
"Bad";21.971204;"High";"Less than 5";"High school";"None or 1"
"Bad";36.623627;"Low";"5 or more";"College";"More than 2"
"Bad";41.587765;"Medium";"5 or more";"College";"More than 2"
"Bad";20.202864;"Low";"5 or more";"High school";"None or 1"
"Bad";29.111218;"High";"5 or more";"College";"None or 1"
"Bad";27.314407;"Medium";"5 or more";"College";"More than 2"
"Bad";50.122333;"Low";"5 or more";"College";"More than 2"
"Bad";36.053262;"Low";"5 or more";"College";"More than 2"
"Bad";30.760597;"Low";"5 or more";"High school";"None or 1"
"Bad";20.489714;"Medium";"5 or more";"High school";"More than 2"
"Bad";30.792424;"Low";"5 or more";"College";"More than 2"
"Bad";25.495244;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.865170;"Low";"5 or more";"High school";"More than 2"
"Bad";26.957100;"Low";"5 or more";"College";"More than 2"
"Bad";34.035314;"Low";"5 or more";"College";"More than 2"
"Bad";21.183451;"Low";"5 or more";"College";"More than 2"
"Bad";27.383271;"Low";"5 or more";"College";"More than 2"
"Bad";37.565715;"Medium";"5 or more";"High school";"More than 2"
"Bad";35.761753;"Low";"5 or more";"College";"More than 2"
"Bad";27.135851;"Low";"5 or more";"High school";"More than 2"
"Bad";30.246102;"Medium";"5 or more";"High school";"More than 2"
"Bad";34.668188;"Medium";"Less than 5";"College";"None or 1"
"Bad";29.492613;"Low";"5 or more";"College";"More than 2"
"Bad";28.613806;"Medium";"5 or more";"College";"More than 2"
"Bad";24.761838;"Low";"5 or more";"College";"More than 2"
"Bad";29.575344;"High";"5 or more";"College";"More than 2"
"Bad";27.840434;"Medium";"5 or more";"College";"More than 2"
"Bad";21.698895;"Medium";"5 or more";"College";"More than 2"
"Bad";33.107029;"Low";"5 or more";"High school";"More than 2"
"Bad";24.604555;"High";"5 or more";"High school";"More than 2"
"Bad";26.519293;"High";"5 or more";"College";"More than 2"
"Bad";22.594928;"Medium";"5 or more";"High school";"More than 2"
"Bad";30.892447;"Low";"5 or more";"College";"More than 2"
"Bad";44.198351;"Low";"5 or more";"College";"More than 2"
"Bad";24.490881;"Low";"5 or more";"High school";"More than 2"
"Bad";21.113389;"Medium";"5 or more";"College";"More than 2"
"Bad";24.117093;"Medium";"5 or more";"High school";"More than 2"
"Bad";36.885593;"Medium";"5 or more";"High school";"More than 2"
"Bad";32.170569;"Low";"5 or more";"College";"More than 2"
"Bad";24.552380;"Medium";"5 or more";"College";"More than 2"
"Bad";34.054478;"Medium";"5 or more";"High school";"More than 2"
"Bad";33.582405;"Medium";"5 or more";"College";"More than 2"
"Bad";27.328115;"Low";"5 or more";"High school";"More than 2"
"Bad";21.051434;"Low";"Less than 5";"High school";"None or 1"
"Bad";29.303440;"Low";"5 or more";"College";"More than 2"
"Bad";26.092356;"Medium";"5 or more";"High school";"More than 2"
"Bad";42.474093;"Medium";"5 or more";"High school";"More than 2"
"Bad";23.287057;"Low";"5 or more";"College";"More than 2"
"Bad";27.460446;"Low";"5 or more";"High school";"More than 2"
"Bad";20.213621;"Medium";"5 or more";"High school";"More than 2"
"Bad";27.306309;"Low";"Less than 5";"College";"None or 1"
"Bad";24.052934;"Low";"5 or more";"High school";"More than 2"
"Bad";27.652948;"Low";"5 or more";"High school";"None or 1"
"Bad";35.267022;"Low";"5 or more";"High school";"More than 2"
"Bad";25.666501;"High";"5 or more";"College";"More than 2"
"Bad";20.476171;"Medium";"5 or more";"High school";"None or 1"
"Bad";41.623124;"Medium";"5 or more";"College";"More than 2"
"Bad";40.797812;"Medium";"5 or more";"High school";"More than 2"
"Bad";21.769382;"Medium";"5 or more";"High school";"More than 2"
"Bad";33.214391;"Medium";"5 or more";"High school";"More than 2"
"Bad";26.090125;"Medium";"5 or more";"College";"More than 2"
"Bad";25.993403;"Low";"5 or more";"High school";"More than 2"
"Bad";28.818355;"Medium";"5 or more";"High school";"More than 2"
"Bad";29.810436;"Low";"5 or more";"College";"More than 2"
"Bad";26.956716;"Medium";"5 or more";"High school";"More than 2"
"Bad";27.695493;"High";"5 or more";"High school";"More than 2"
"Bad";36.233860;"Medium";"5 or more";"College";"More than 2"
"Bad";40.651478;"Medium";"5 or more";"High school";"None or 1"
"Bad";23.783550;"Medium";"5 or more";"High school";"More than 2"
"Bad";29.411708;"Low";"5 or more";"High school";"More than 2"
"Bad";29.954337;"Low";"5 or more";"High school";"More than 2"
"Bad";51.284677;"Low";"5 or more";"High school";"More than 2"
"Bad";30.414451;"Low";"5 or more";"College";"More than 2"
"Bad";21.262726;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.623184;"Low";"Less than 5";"College";"More than 2"
"Bad";32.596732;"Low";"5 or more";"College";"More than 2"
"Bad";37.789442;"High";"5 or more";"College";"More than 2"
"Bad";40.225089;"Low";"5 or more";"High school";"More than 2"
"Bad";33.945585;"Medium";"5 or more";"High school";"More than 2"
"Bad";25.983622;"Medium";"Less than 5";"High school";"None or 1"
"Bad";23.957714;"Low";"5 or more";"College";"More than 2"
"Bad";26.855842;"Medium";"5 or more";"High school";"More than 2"
"Bad";24.381605;"Medium";"5 or more";"High school";"More than 2"
"Bad";33.978466;"High";"5 or more";"College";"None or 1"
"Bad";22.183210;"Medium";"5 or more";"High school";"More than 2"
"Bad";46.542995;"Medium";"5 or more";"High school";"More than 2"
"Bad";33.705033;"Medium";"5 or more";"High school";"More than 2"
"Bad";25.012643;"High";"5 or more";"High school";"More than 2"
"Bad";29.024770;"Low";"5 or more";"High school";"More than 2"
"Bad";31.346578;"Medium";"5 or more";"High school";"None or 1"
"Bad";24.140395;"Low";"5 or more";"College";"More than 2"
"Bad";25.837349;"Medium";"5 or more";"High school";"More than 2"
"Bad";40.035800;"Medium";"5 or more";"High school";"More than 2"
"Bad";47.439593;"Medium";"5 or more";"High school";"More than 2"
"Bad";40.994219;"Low";"5 or more";"High school";"More than 2"
"Bad";46.483256;"Low";"5 or more";"High school";"More than 2"
"Bad";21.379820;"Medium";"5 or more";"College";"More than 2"
"Bad";22.169639;"Low";"5 or more";"College";"More than 2"
"Bad";31.391954;"Low";"5 or more";"High school";"More than 2"
"Bad";35.327793;"Low";"Less than 5";"High school";"None or 1"
"Bad";27.963461;"Low";"5 or more";"High school";"More than 2"
"Bad";20.557080;"Low";"5 or more";"High school";"More than 2"
"Bad";26.400867;"Low";"5 or more";"College";"More than 2"
"Bad";43.919404;"Low";"5 or more";"College";"More than 2"
"Bad";33.650468;"Medium";"Less than 5";"High school";"None or 1"
"Bad";22.528008;"Medium";"5 or more";"High school";"More than 2"
"Bad";25.526556;"Medium";"5 or more";"College";"More than 2"
"Bad";26.065737;"Low";"5 or more";"College";"None or 1"
"Bad";26.774822;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.490687;"Low";"5 or more";"High school";"More than 2"
"Bad";33.129663;"Medium";"5 or more";"High school";"More than 2"
"Bad";41.996454;"Low";"5 or more";"College";"More than 2"
"Bad";27.986947;"Medium";"5 or more";"High school";"More than 2"
"Bad";36.360811;"Low";"5 or more";"High school";"More than 2"
"Bad";23.505828;"Medium";"5 or more";"College";"More than 2"
"Bad";23.317929;"Medium";"5 or more";"College";"More than 2"
"Bad";23.261832;"Medium";"5 or more";"High school";"More than 2"
"Bad";27.376280;"Medium";"5 or more";"College";"More than 2"
"Bad";36.420585;"Low";"5 or more";"College";"More than 2"
"Bad";34.323935;"Medium";"5 or more";"College";"More than 2"
"Bad";30.592189;"Low";"5 or more";"High school";"More than 2"
"Bad";27.940449;"Medium";"5 or more";"College";"More than 2"
"Bad";35.462131;"Medium";"5 or more";"College";"More than 2"
"Bad";23.885376;"Medium";"5 or more";"College";"More than 2"
"Bad";30.598542;"Medium";"5 or more";"High school";"More than 2"
"Bad";29.349875;"Low";"5 or more";"College";"More than 2"
"Bad";22.184993;"Low";"Less than 5";"College";"More than 2"
"Bad";21.153222;"Low";"5 or more";"High school";"More than 2"
"Bad";38.192549;"High";"5 or more";"College";"More than 2"
"Bad";33.553725;"Low";"5 or more";"College";"More than 2"
"Bad";33.153772;"Medium";"5 or more";"High school";"More than 2"
"Bad";24.445837;"Low";"5 or more";"College";"More than 2"
"Bad";20.933259;"Medium";"5 or more";"College";"More than 2"
"Bad";31.155176;"Medium";"5 or more";"High school";"More than 2"
"Bad";24.741004;"Low";"5 or more";"College";"None or 1"
"Bad";42.760948;"Low";"5 or more";"High school";"More than 2"
"Bad";21.007780;"Low";"5 or more";"College";"More than 2"
"Bad";32.159613;"Low";"5 or more";"High school";"More than 2"
"Bad";29.435243;"Medium";"5 or more";"High school";"More than 2"
"Bad";29.533624;"High";"5 or more";"High school";"More than 2"
"Bad";20.116133;"Medium";"5 or more";"College";"More than 2"
"Bad";41.633523;"Low";"5 or more";"High school";"More than 2"
"Bad";34.844137;"Low";"5 or more";"College";"More than 2"
"Bad";39.268561;"Medium";"5 or more";"College";"More than 2"
"Bad";37.608093;"Low";"5 or more";"High school";"More than 2"
"Bad";24.766333;"Medium";"5 or more";"College";"More than 2"
"Bad";25.860174;"Low";"5 or more";"College";"More than 2"
"Bad";24.912055;"Medium";"Less than 5";"College";"None or 1"
"Bad";21.840467;"Medium";"5 or more";"College";"More than 2"
"Bad";35.900206;"Medium";"5 or more";"High school";"More than 2"
"Bad";34.172847;"Low";"5 or more";"High school";"More than 2"
"Bad";25.810546;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.033461;"Medium";"5 or more";"High school";"More than 2"
"Bad";40.099799;"Low";"5 or more";"College";"More than 2"
"Bad";26.392260;"Medium";"5 or more";"College";"More than 2"
"Bad";23.949121;"Low";"5 or more";"College";"None or 1"
"Bad";39.808886;"Low";"5 or more";"High school";"More than 2"
"Bad";41.303446;"Low";"5 or more";"High school";"More than 2"
"Bad";27.557968;"Medium";"5 or more";"College";"More than 2"
"Bad";20.002700;"Medium";"5 or more";"High school";"None or 1"
"Bad";22.956597;"Low";"5 or more";"High school";"More than 2"
"Bad";24.828089;"Medium";"5 or more";"College";"More than 2"
"Bad";26.715409;"Medium";"5 or more";"College";"More than 2"
"Bad";22.168262;"Low";"5 or more";"College";"More than 2"
"Bad";20.267381;"Medium";"5 or more";"College";"More than 2"
"Bad";45.041339;"Medium";"5 or more";"High school";"More than 2"
"Bad";38.972407;"Medium";"5 or more";"High school";"More than 2"
"Bad";33.881624;"Low";"Less than 5";"High school";"None or 1"
"Bad";29.295532;"High";"5 or more";"College";"None or 1"
"Bad";20.876938;"Low";"5 or more";"High school";"More than 2"
"Bad";34.089427;"Medium";"5 or more";"High school";"None or 1"
"Bad";25.682052;"Low";"5 or more";"High school";"More than 2"
"Bad";33.740906;"Medium";"Less than 5";"High school";"None or 1"
"Bad";37.544565;"Medium";"5 or more";"High school";"More than 2"
"Bad";36.287945;"Medium";"5 or more";"College";"More than 2"
"Bad";22.086507;"Medium";"5 or more";"College";"More than 2"
"Bad";22.005108;"Low";"5 or more";"High school";"More than 2"
"Bad";34.998702;"Low";"5 or more";"High school";"More than 2"
"Bad";22.140482;"Low";"5 or more";"High school";"More than 2"
"Bad";38.892052;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.943432;"Low";"Less than 5";"High school";"None or 1"
"Bad";25.975442;"Medium";"5 or more";"College";"More than 2"
"Bad";30.273212;"Low";"5 or more";"High school";"More than 2"
"Bad";34.537447;"Low";"5 or more";"College";"More than 2"
"Bad";32.535862;"Medium";"5 or more";"High school";"None or 1"
"Bad";26.782320;"Medium";"5 or more";"College";"None or 1"
"Bad";31.065334;"Low";"5 or more";"College";"None or 1"
"Bad";25.377128;"Low";"5 or more";"College";"More than 2"
"Bad";27.614894;"High";"5 or more";"College";"More than 2"
"Bad";23.861205;"Low";"5 or more";"College";"More than 2"
"Bad";21.423355;"Medium";"5 or more";"College";"More than 2"
"Bad";34.982239;"Medium";"5 or more";"High school";"More than 2"
"Bad";31.742621;"Low";"5 or more";"High school";"More than 2"
"Bad";31.060340;"Low";"5 or more";"College";"More than 2"
"Bad";24.950478;"Medium";"Less than 5";"High school";"None or 1"
"Bad";37.857382;"Medium";"5 or more";"College";"More than 2"
"Bad";22.177080;"High";"5 or more";"High school";"None or 1"
"Bad";24.252254;"Low";"5 or more";"High school";"More than 2"
"Bad";24.174674;"Medium";"5 or more";"College";"None or 1"
"Bad";44.107649;"Low";"5 or more";"College";"More than 2"
"Bad";41.431106;"Low";"5 or more";"College";"More than 2"
"Bad";24.855613;"Low";"5 or more";"High school";"More than 2"
"Bad";22.713349;"Medium";"5 or more";"High school";"More than 2"
"Bad";23.336598;"High";"5 or more";"College";"More than 2"
"Bad";24.019980;"High";"5 or more";"High school";"More than 2"
"Bad";47.967376;"Low";"5 or more";"College";"More than 2"
"Bad";20.307403;"Medium";"5 or more";"College";"More than 2"
"Bad";46.555183;"Low";"5 or more";"College";"More than 2"
"Bad";25.951179;"Low";"5 or more";"College";"More than 2"
"Bad";32.265408;"Low";"5 or more";"High school";"More than 2"
"Bad";23.862614;"Low";"5 or more";"High school";"More than 2"
"Bad";26.584372;"High";"5 or more";"College";"None or 1"
"Bad";33.828674;"Medium";"5 or more";"College";"More than 2"
"Bad";29.479838;"Low";"5 or more";"College";"None or 1"
"Bad";24.921500;"Medium";"5 or more";"High school";"More than 2"
"Bad";27.180871;"Medium";"Less than 5";"College";"None or 1"
"Bad";27.787583;"High";"5 or more";"High school";"More than 2"
"Bad";26.968087;"High";"5 or more";"High school";"More than 2"
"Bad";28.983385;"Low";"5 or more";"College";"More than 2"
"Bad";22.727681;"Medium";"5 or more";"High school";"More than 2"
"Bad";21.851466;"Medium";"5 or more";"High school";"More than 2"
"Bad";30.795772;"Medium";"5 or more";"High school";"More than 2"
"Bad";21.335129;"Low";"5 or more";"High school";"More than 2"
"Bad";23.977300;"Low";"5 or more";"College";"More than 2"
"Bad";20.969862;"Medium";"5 or more";"College";"More than 2"
"Bad";22.730401;"Medium";"Less than 5";"College";"None or 1"
"Bad";26.963977;"High";"5 or more";"High school";"More than 2"
"Bad";29.415165;"Low";"5 or more";"College";"More than 2"
"Bad";38.147358;"Medium";"5 or more";"College";"More than 2"
"Bad";30.380603;"Medium";"5 or more";"College";"More than 2"
"Bad";24.587268;"Medium";"5 or more";"High school";"More than 2"
"Bad";23.251096;"Medium";"5 or more";"High school";"More than 2"
"Bad";26.724599;"Low";"5 or more";"College";"None or 1"
"Bad";28.764802;"Low";"5 or more";"High school";"More than 2"
"Bad";28.670276;"Medium";"Less than 5";"High school";"None or 1"
"Bad";24.538764;"Low";"5 or more";"High school";"More than 2"
"Bad";35.465148;"High";"5 or more";"High school";"More than 2"
"Bad";22.385723;"Low";"5 or more";"College";"More than 2"
"Bad";27.889974;"Low";"5 or more";"High school";"More than 2"
"Bad";31.890245;"Low";"5 or more";"High school";"More than 2"
"Bad";21.281274;"Medium";"5 or more";"College";"More than 2"
"Bad";40.637297;"High";"5 or more";"College";"More than 2"
"Bad";31.622740;"Low";"5 or more";"College";"More than 2"
"Bad";29.251651;"Medium";"5 or more";"College";"More than 2"
"Bad";27.628213;"High";"5 or more";"College";"More than 2"
"Bad";37.194084;"Medium";"5 or more";"College";"More than 2"
"Bad";24.558542;"Medium";"Less than 5";"College";"None or 1"
"Bad";24.875706;"Low";"5 or more";"College";"More than 2"
"Bad";22.746806;"High";"5 or more";"High school";"More than 2"
"Bad";24.557310;"Medium";"5 or more";"High school";"More than 2"
"Bad";32.307773;"Low";"5 or more";"High school";"More than 2"
"Bad";22.059161;"Medium";"5 or more";"High school";"More than 2"
"Bad";26.680167;"Low";"5 or more";"College";"More than 2"
"Bad";27.506470;"Medium";"5 or more";"College";"More than 2"
"Bad";43.873236;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.610111;"Medium";"5 or more";"High school";"More than 2"
"Bad";36.356100;"Medium";"5 or more";"College";"More than 2"
"Bad";25.692944;"Low";"5 or more";"College";"More than 2"
"Bad";36.361216;"Low";"Less than 5";"High school";"None or 1"
"Bad";35.692393;"High";"5 or more";"High school";"More than 2"
"Bad";36.769802;"Medium";"5 or more";"High school";"More than 2"
"Bad";24.472793;"Low";"5 or more";"College";"More than 2"
"Bad";46.756925;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.906757;"Low";"5 or more";"High school";"More than 2"
"Bad";23.261312;"Low";"5 or more";"High school";"More than 2"
"Bad";28.461271;"Low";"5 or more";"College";"None or 1"
"Bad";24.825981;"Low";"5 or more";"High school";"More than 2"
"Bad";25.565661;"Medium";"5 or more";"High school";"More than 2"
"Bad";20.019217;"Medium";"5 or more";"High school";"More than 2"
"Bad";30.757941;"Medium";"5 or more";"High school";"More than 2"
"Bad";33.100252;"Low";"5 or more";"College";"More than 2"
"Bad";22.626621;"Low";"5 or more";"College";"More than 2"
"Bad";21.149380;"Low";"5 or more";"College";"More than 2"
"Bad";23.502655;"Low";"Less than 5";"College";"None or 1"
"Bad";23.969155;"High";"5 or more";"High school";"More than 2"
"Bad";20.787788;"Low";"5 or more";"High school";"More than 2"
"Bad";28.925210;"High";"5 or more";"High school";"More than 2"
"Bad";20.515358;"Low";"5 or more";"High school";"More than 2"
"Bad";27.210053;"Medium";"5 or more";"High school";"None or 1"
"Bad";34.751750;"Low";"5 or more";"High school";"More than 2"
"Bad";26.125177;"Medium";"5 or more";"High school";"More than 2"
"Bad";24.611415;"Medium";"5 or more";"College";"More than 2"
"Bad";20.487298;"Low";"5 or more";"High school";"More than 2"
"Bad";29.013654;"Low";"5 or more";"College";"More than 2"
"Bad";23.376762;"Medium";"5 or more";"High school";"More than 2"
"Bad";28.849615;"High";"5 or more";"College";"More than 2"
"Bad";21.147053;"Low";"5 or more";"High school";"More than 2"
"Bad";26.404742;"High";"5 or more";"High school";"More than 2"
